movieName,runTime
Mulholland Drive,2h 27m 
Gladiator,2h 35m 
The Godfather,2h 55m 
Harry Potter and the Sorcerer's Stone,2h 32m 
Inception,2h 28m 
The Lord of the Rings: The Fellowship of the Ring,2h 58m 
The Dark Knight,2h 32m 
Titanic,3h 14m 
Fight Club,2h 19m 
Goodfellas,2h 25m 
Crazy Stupid Love.,1h 58m 
Heat,2h 50m 
10 Things I Hate About You,1h 37m 
Awakenings,2h 1m 
Saving Private Ryan,2h 49m 
Requiem for a Dream,1h 42m 
The Departed,2h 31m 
Good Will Hunting,2h 6m 
American Psycho,1h 42m 
The Replacements,1h 58m 
Harry Potter and the Deathly Hallows: Part 2,2h 10m 
Pirates of the Caribbean: The Curse of the Black Pearl,2h 23m 
The Pianist,2h 30m 
The Godfather Part II,3h 22m 
Home Alone,1h 43m 
Dazed and Confused,1h 43m 
Snatch,1h 42m 
Erin Brockovich,2h 11m 
Donnie Darko,1h 53m 
American History X,1h 59m 
Almost Famous,2h 2m 
Catch Me If You Can,2h 21m 
Once Upon a Time in America,3h 49m 
The Hangover,1h 40m 
Harry Potter and the Deathly Hallows: Part 1,2h 26m 
Tropic Thunder,1h 47m 
Captain America: The First Avenger,2h 4m 
Drive,1h 40m 
Not Another Teen Movie,1h 29m 
Avatar,2h 42m 
The Help,2h 26m 
Tombstone,2h 10m 
Sleepers,2h 27m 
Hook,2h 22m 
Scream,1h 51m 
Casino,2h 58m 
Charlie and the Chocolate Factory,1h 55m 
Scott Pilgrim vs. the World,1h 52m 
Final Destination,1h 38m 
Boogie Nights,2h 35m 
Twister,1h 53m 
Ocean's Eleven,1h 56m 
The Parent Trap,2h 8m 
Full Metal Jacket,1h 56m 
500 Days of Summer,1h 35m 
The Fast and the Furious,1h 46m 
Men in Black,1h 38m 
Fear,1h 37m 