County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Dorchester County, Maryland(6)",24019,Rural,23 ,-3.0, 4.0,N/A , N/A , N/A,11,stable,0.3 ,-3.0, 4.0
"Caroline County, Maryland(6)",24011,Rural,20.8 ,-2.3, 3.6,N/A , N/A , N/A,9,stable,0.5 ,-2.3, 3.6
"Montgomery County, Maryland(6)",24031,Urban,20.5 ,-0.3, 1.8,N/A , N/A , N/A,262,stable,0.7 ,-0.3, 1.8
"Charles County, Maryland(6)",24017,Urban,15.3 ,-2.8, 4.9,N/A , N/A , N/A,29,stable,0.7 ,-2.8, 4.9
"Baltimore City, Maryland(6)",24510,Urban,10.9 ,0.7, 3.5,N/A , N/A , N/A,72,rising,2.0 ,0.7, 3.5
"Prince Georges County, Maryland(6)",24033,Urban,5.6 ,-3.8, -1.1,N/A , N/A , N/A,57,falling,-2.5 ,-3.8, -1.1
"Dukes County, Massachusetts(7)",25007,Rural,26.9 ,-30.8, -1.9,N/A , N/A , N/A,9,falling,-12.4 ,-30.8, -1.9
"Barnstable County, Massachusetts(7)",25001,Urban,26.5 ,-28.0, -7.2,N/A , N/A , N/A,111,falling,-18.1 ,-28.0, -7.2
"Plymouth County, Massachusetts(7)",25023,Urban,22.7 ,-26.6, -6.4,N/A , N/A , N/A,157,falling,-16.6 ,-26.6, -6.4
"Norfolk County, Massachusetts(7)",25021,Urban,22.3 ,-30.6, -9.4,N/A , N/A , N/A,199,falling,-20.3 ,-30.6, -9.4
"Nantucket County, Massachusetts(7)",25019,Rural,21 ,-56.2, -8.8,N/A , N/A , N/A,4,falling,-17.5 ,-56.2, -8.8
"Worcester County, Massachusetts(7)",25027,Urban,20 ,-16.8, -4.8,N/A , N/A , N/A,205,falling,-8.9 ,-16.8, -4.8
"Berkshire County, Massachusetts(7)",25003,Urban,19.6 ,-4.5, 0.3,N/A , N/A , N/A,36,stable,-1.9 ,-4.5, 0.3
"Essex County, Massachusetts(7)",25009,Urban,18.7 ,-31.1, -1.6,N/A , N/A , N/A,191,falling,-15.7 ,-31.1, -1.6
"Middlesex County, Massachusetts(7)",25017,Urban,15.9 ,-27.0, -3.6,N/A , N/A , N/A,305,falling,-15.6 ,-27.0, -3.6
"Hampshire County, Massachusetts(7)",25015,Urban,15.5 ,-2.8, 0.4,N/A , N/A , N/A,30,stable,-1.2 ,-2.8, 0.4
"Franklin County, Massachusetts(7)",25011,Rural,15.3 ,-2.2, 3.1,N/A , N/A , N/A,17,stable,0.3 ,-2.2, 3.1
"Suffolk County, Massachusetts(7)",25025,Urban,13.3 ,-3.7, -1.3,N/A , N/A , N/A,106,falling,-2.3 ,-3.7, -1.3
"Bristol County, Massachusetts(7)",25005,Urban,12.2 ,-31.5, -9.1,N/A , N/A , N/A,89,falling,-21.0 ,-31.5, -9.1
"Hampden County, Massachusetts(7)",25013,Urban,11.5 ,-13.4, -1.9,N/A , N/A , N/A,68,falling,-4.0 ,-13.4, -1.9
"Belknap County, New Hampshire(6)",33001,Rural,39.2 ,-0.6, 5.4,N/A , N/A , N/A,37,stable,2.1 ,-0.6, 5.4
"Grafton County, New Hampshire(6)",33009,Rural,38.3 ,-2.7, 2.4,N/A , N/A , N/A,51,stable,-0.3 ,-2.7, 2.4
"Cheshire County, New Hampshire(6)",33005,Rural,36.2 ,0.0, 4.5,N/A , N/A , N/A,38,stable,2.0 ,0.0, 4.5
"Sullivan County, New Hampshire(6)",33019,Rural,34.4 ,-1.2, 3.3,N/A , N/A , N/A,22,stable,1.0 ,-1.2, 3.3
"Merrimack County, New Hampshire(6)",33013,Rural,34 ,-8.5, 8.8,N/A , N/A , N/A,71,stable,1.2 ,-8.5, 8.8
"Rockingham County, New Hampshire(6)",33015,Urban,30.5 ,-1.2, 2.2,N/A , N/A , N/A,129,stable,0.4 ,-1.2, 2.2
"Coos County, New Hampshire(6)",33007,Rural,27.2 ,-2.4, 2.2,N/A , N/A , N/A,15,stable,-0.2 ,-2.4, 2.2
"Carroll County, New Hampshire(6)",33003,Rural,26.8 ,-3.5, 1.7,N/A , N/A , N/A,26,stable,-1.0 ,-3.5, 1.7
"Hillsborough County, New Hampshire(6)",33011,Urban,24.7 ,-1.1, 1.0,N/A , N/A , N/A,127,stable,-0.1 ,-1.1, 1.0
"Strafford County, New Hampshire(6)",33017,Urban,22.7 ,-1.6, 4.5,N/A , N/A , N/A,34,stable,1.2 ,-1.6, 4.5
"Cape May County, New Jersey(7)",34009,Urban,51.9 ,-9.6, 3.6,N/A , N/A , N/A,85,stable,1.9 ,-9.6, 3.6
"Hunterdon County, New Jersey(7)",34019,Urban,32.2 ,-13.4, 1.1,N/A , N/A , N/A,58,stable,-1.3 ,-13.4, 1.1
"Monmouth County, New Jersey(7)",34025,Urban,31.1 ,-0.1, 2.3,N/A , N/A , N/A,265,stable,1.1 ,-0.1, 2.3
"Ocean County, New Jersey(7)",34029,Urban,30.5 ,-1.9, 0.3,N/A , N/A , N/A,275,stable,-0.6 ,-1.9, 0.3
"Sussex County, New Jersey(7)",34037,Urban,28.7 ,-9.9, 3.4,N/A , N/A , N/A,54,stable,0.4 ,-9.9, 3.4
"Gloucester County, New Jersey(7)",34015,Urban,28.1 ,-0.3, 1.7,N/A , N/A , N/A,101,stable,0.8 ,-0.3, 1.7
"Burlington County, New Jersey(7)",34005,Urban,26.6 ,-0.2, 1.4,N/A , N/A , N/A,157,stable,0.6 ,-0.2, 1.4
"Warren County, New Jersey(7)",34041,Urban,26.2 ,-1.0, 2.1,N/A , N/A , N/A,39,stable,0.5 ,-1.0, 2.1
"Atlantic County, New Jersey(7)",34001,Urban,25.6 ,-0.2, 2.2,N/A , N/A , N/A,95,stable,1.0 ,-0.2, 2.2
"Morris County, New Jersey(7)",34027,Urban,25.2 ,-0.6, 0.8,N/A , N/A , N/A,168,stable,0.1 ,-0.6, 0.8
"Salem County, New Jersey(7)",34033,Urban,24.6 ,-8.2, 2.3,N/A , N/A , N/A,21,stable,-0.9 ,-8.2, 2.3
"Somerset County, New Jersey(7)",34035,Urban,23.5 ,-0.8, 0.8,N/A , N/A , N/A,101,stable,0.0 ,-0.8, 0.8
"Camden County, New Jersey(7)",34007,Urban,22.9 ,-1.0, 1.3,N/A , N/A , N/A,142,stable,0.4 ,-1.0, 1.3
"Mercer County, New Jersey(7)",34021,Urban,21.8 ,-0.8, 1.4,N/A , N/A , N/A,100,stable,0.3 ,-0.8, 1.4
"Bergen County, New Jersey(7)",34003,Urban,16.1 ,-2.2, -0.8,N/A , N/A , N/A,198,falling,-1.5 ,-2.2, -0.8
"Cumberland County, New Jersey(7)",34011,Urban,15.7 ,-1.3, 3.6,N/A , N/A , N/A,28,stable,1.0 ,-1.3, 3.6
"Union County, New Jersey(7)",34039,Urban,14.9 ,-0.9, 1.3,N/A , N/A , N/A,98,stable,0.2 ,-0.9, 1.3
"Middlesex County, New Jersey(7)",34023,Urban,14.6 ,-14.9, -0.2,N/A , N/A , N/A,148,falling,-3.9 ,-14.9, -0.2
"Passaic County, New Jersey(7)",34031,Urban,11.8 ,-1.9, 0.6,N/A , N/A , N/A,71,stable,-0.7 ,-1.9, 0.6
"Essex County, New Jersey(7)",34013,Urban,10.7 ,-1.5, 0.2,N/A , N/A , N/A,100,stable,-0.7 ,-1.5, 0.2
"Hudson County, New Jersey(7)",34017,Urban,7.1 ,-2.5, 0.2,N/A , N/A , N/A,52,stable,-1.1 ,-2.5, 0.2
"Warren County, New York(7)",36113,Urban,35.4 ,4.0, 15.1,N/A , N/A , N/A,32,rising,7.5 ,4.0, 15.1
"Tioga County, New York(7)",36107,Urban,33.1 ,-0.7, 7.1,N/A , N/A , N/A,22,stable,2.9 ,-0.7, 7.1
"Ontario County, New York(7)",36069,Urban,32.9 ,-1.2, 3.8,N/A , N/A , N/A,50,stable,1.9 ,-1.2, 3.8
"Yates County, New York(7)",36123,Rural,31.2 ,-0.1, 7.7,N/A , N/A , N/A,11,stable,3.3 ,-0.1, 7.7
"Cortland County, New York(7)",36023,Rural,31.1 ,3.2, 12.2,N/A , N/A , N/A,17,rising,6.8 ,3.2, 12.2
"Wayne County, New York(7)",36117,Urban,30.8 ,3.8, 7.4,N/A , N/A , N/A,36,rising,5.4 ,3.8, 7.4
"Genesee County, New York(7)",36037,Rural,29.6 ,1.0, 7.2,N/A , N/A , N/A,23,rising,3.7 ,1.0, 7.2
"Erie County, New York(7)",36029,Urban,28.5 ,-1.0, 2.4,N/A , N/A , N/A,348,stable,1.0 ,-1.0, 2.4
"Cattaraugus County, New York(7)",36009,Rural,28.4 ,-0.3, 4.9,N/A , N/A , N/A,28,stable,2.2 ,-0.3, 4.9
"Chautauqua County, New York(7)",36013,Rural,28.4 ,1.5, 4.3,N/A , N/A , N/A,47,rising,2.8 ,1.5, 4.3
"Jefferson County, New York(7)",36045,Urban,28.2 ,-26.6, 4.6,N/A , N/A , N/A,34,stable,-11.3 ,-26.6, 4.6
"Allegany County, New York(7)",36003,Rural,27.6 ,-0.7, 5.2,N/A , N/A , N/A,15,stable,2.0 ,-0.7, 5.2
"Monroe County, New York(7)",36055,Urban,27.3 ,-0.9, 3.4,N/A , N/A , N/A,248,stable,1.6 ,-0.9, 3.4
"Livingston County, New York(7)",36051,Urban,27.2 ,-1.8, 3.2,N/A , N/A , N/A,22,stable,1.1 ,-1.8, 3.2
"Steuben County, New York(7)",36101,Rural,27 ,0.1, 2.9,N/A , N/A , N/A,32,rising,1.4 ,0.1, 2.9
"Niagara County, New York(7)",36063,Urban,26.8 ,-14.1, 3.7,N/A , N/A , N/A,74,stable,-3.7 ,-14.1, 3.7
"Otsego County, New York(7)",36077,Rural,26.4 ,-0.4, 6.2,N/A , N/A , N/A,20,stable,2.6 ,-0.4, 6.2
"Tompkins County, New York(7)",36109,Urban,26.1 ,-1.6, 3.4,N/A , N/A , N/A,28,stable,0.8 ,-1.6, 3.4
"Cayuga County, New York(7)",36011,Rural,25.9 ,-27.1, 3.5,N/A , N/A , N/A,26,stable,-4.0 ,-27.1, 3.5
"Putnam County, New York(7)",36079,Urban,25.8 ,-0.6, 3.7,N/A , N/A , N/A,33,stable,1.4 ,-0.6, 3.7
"Seneca County, New York(7)",36099,Rural,25.8 ,0.2, 6.8,N/A , N/A , N/A,12,rising,3.2 ,0.2, 6.8
"Suffolk County, New York(7)",36103,Urban,25.4 ,-2.3, 1.4,N/A , N/A , N/A,496,stable,0.1 ,-2.3, 1.4
"Herkimer County, New York(7)",36043,Urban,25.3 ,2.5, 7.8,N/A , N/A , N/A,21,rising,4.9 ,2.5, 7.8
"Saratoga County, New York(7)",36091,Urban,25.2 ,-5.1, 2.5,N/A , N/A , N/A,77,stable,0.1 ,-5.1, 2.5
"Essex County, New York(7)",36031,Rural,24.8 ,-2.4, 4.4,N/A , N/A , N/A,15,stable,0.8 ,-2.4, 4.4
"Chenango County, New York(7)",36017,Rural,24.8 ,0.1, 6.4,N/A , N/A , N/A,16,rising,3.0 ,0.1, 6.4
"Broome County, New York(7)",36007,Urban,24.5 ,1.6, 4.3,N/A , N/A , N/A,64,rising,2.9 ,1.6, 4.3
"Albany County, New York(7)",36001,Urban,24.3 ,3.5, 6.0,N/A , N/A , N/A,94,rising,4.6 ,3.5, 6.0
"Orleans County, New York(7)",36073,Urban,24 ,-40.0, 4.7,N/A , N/A , N/A,13,stable,-13.6 ,-40.0, 4.7
"Schuyler County, New York(7)",36097,Rural,23.9 ,0.0, 7.7,N/A , N/A , N/A,7,stable,3.4 ,0.0, 7.7
"Madison County, New York(7)",36053,Urban,23.6 ,-0.7, 4.5,N/A , N/A , N/A,21,stable,1.8 ,-0.7, 4.5
"Chemung County, New York(7)",36015,Urban,23.1 ,-0.5, 3.9,N/A , N/A , N/A,25,stable,1.6 ,-0.5, 3.9
"Clinton County, New York(7)",36019,Rural,23 ,1.6, 6.9,N/A , N/A , N/A,22,rising,3.9 ,1.6, 6.9
"St. Lawrence County, New York(7)",36089,Rural,22.7 ,-1.2, 3.3,N/A , N/A , N/A,30,stable,1.0 ,-1.2, 3.3
"Rensselaer County, New York(7)",36083,Urban,21.6 ,-14.5, 6.2,N/A , N/A , N/A,44,stable,1.3 ,-14.5, 6.2
"Nassau County, New York(7)",36059,Urban,21.3 ,-3.7, -0.4,N/A , N/A , N/A,389,falling,-1.5 ,-3.7, -0.4
"Greene County, New York(7)",36039,Rural,20.9 ,-1.2, 2.8,N/A , N/A , N/A,15,stable,0.7 ,-1.2, 2.8
"Onondaga County, New York(7)",36067,Urban,20.4 ,-5.7, 2.6,N/A , N/A , N/A,117,stable,1.0 ,-5.7, 2.6
"Rockland County, New York(7)",36087,Urban,20.2 ,2.9, 14.9,N/A , N/A , N/A,77,rising,7.9 ,2.9, 14.9
"Schoharie County, New York(7)",36095,Urban,20.1 ,-2.7, 7.5,N/A , N/A , N/A,9,stable,2.0 ,-2.7, 7.5
"Montgomery County, New York(7)",36057,Rural,19.9 ,-1.1, 4.1,N/A , N/A , N/A,13,stable,1.4 ,-1.1, 4.1
"Lewis County, New York(7)",36049,Rural,19.5 ,-1.2, 6.0,N/A , N/A , N/A,6,stable,2.2 ,-1.2, 6.0
"Oneida County, New York(7)",36065,Urban,19.4 ,0.3, 2.9,N/A , N/A , N/A,59,rising,1.5 ,0.3, 2.9
"Franklin County, New York(7)",36033,Rural,19.1 ,-4.4, 3.2,N/A , N/A , N/A,12,stable,-0.6 ,-4.4, 3.2
"Fulton County, New York(7)",36035,Rural,19 ,1.0, 5.8,N/A , N/A , N/A,14,rising,3.2 ,1.0, 5.8
"Oswego County, New York(7)",36075,Urban,18.7 ,0.7, 3.9,N/A , N/A , N/A,26,rising,2.2 ,0.7, 3.9
"Ulster County, New York(7)",36111,Urban,18.2 ,-0.6, 2.6,N/A , N/A , N/A,46,stable,0.9 ,-0.6, 2.6
"Schenectady County, New York(7)",36093,Urban,17.9 ,-0.8, 21.2,N/A , N/A , N/A,35,stable,12.0 ,-0.8, 21.2
"Orange County, New York(7)",36071,Urban,17.9 ,1.2, 4.4,N/A , N/A , N/A,78,rising,2.6 ,1.2, 4.4
"Columbia County, New York(7)",36021,Rural,17.7 ,-1.4, 4.0,N/A , N/A , N/A,18,stable,1.1 ,-1.4, 4.0
"Westchester County, New York(7)",36119,Urban,17.2 ,-12.3, -0.6,N/A , N/A , N/A,222,falling,-4.0 ,-12.3, -0.6
"Sullivan County, New York(7)",36105,Rural,16.5 ,-19.8, 1.3,N/A , N/A , N/A,17,stable,-2.9 ,-19.8, 1.3
"New York County, New York(7)",36061,Urban,16.3 ,-4.3, -0.5,N/A , N/A , N/A,335,falling,-2.0 ,-4.3, -0.5
"Dutchess County, New York(7)",36027,Urban,16.1 ,-16.6, -0.9,N/A , N/A , N/A,64,falling,-5.9 ,-16.6, -0.9
"Richmond County, New York(7)",36085,Urban,14 ,-10.7, -1.8,N/A , N/A , N/A,86,falling,-4.8 ,-10.7, -1.8
"Kings County, New York(7)",36047,Urban,7.9 ,-2.3, -0.8,N/A , N/A , N/A,229,falling,-1.5 ,-2.3, -0.8
"Queens County, New York(7)",36081,Urban,6.9 ,-3.8, -1.6,N/A , N/A , N/A,199,falling,-2.6 ,-3.8, -1.6
"Bronx County, New York(7)",36005,Urban,3.6 ,-21.5, 1.9,N/A , N/A , N/A,54,stable,-2.1 ,-21.5, 1.9
"Hamilton County, New York(7)",36041,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Watauga County, North Carolina(6)",37189,Rural,43.1 ,2.8, 7.9,N/A , N/A , N/A,25,rising,5.1 ,2.8, 7.9
"Dare County, North Carolina(6)",37055,Rural,42.9 ,1.9, 9.0,N/A , N/A , N/A,22,rising,4.9 ,1.9, 9.0
"Avery County, North Carolina(6)",37011,Rural,42 ,1.0, 11.1,N/A , N/A , N/A,11,rising,5.2 ,1.0, 11.1
"Alexander County, North Carolina(6)",37003,Urban,41.2 ,0.9, 8.5,N/A , N/A , N/A,20,rising,4.2 ,0.9, 8.5
"Moore County, North Carolina(6)",37125,Urban,40.9 ,0.6, 3.9,N/A , N/A , N/A,62,rising,2.1 ,0.6, 3.9
"Ashe County, North Carolina(6)",37009,Rural,40.8 ,*,*,N/A , N/A , N/A,15,*,*,*,*
"Madison County, North Carolina(6)",37115,Urban,40.2 ,*,*,N/A , N/A , N/A,12,*,*,*,*
"Brunswick County, North Carolina(6)",37019,Urban,39.4 ,5.9, 13.2,N/A , N/A , N/A,99,rising,8.0 ,5.9, 13.2
"Carteret County, North Carolina(6)",37031,Rural,39.2 ,-1.1, 5.1,N/A , N/A , N/A,41,stable,1.8 ,-1.1, 5.1
"Iredell County, North Carolina(6)",37097,Urban,38.1 ,-2.1, 5.7,N/A , N/A , N/A,83,stable,3.6 ,-2.1, 5.7
"Macon County, North Carolina(6)",37113,Rural,37.5 ,1.2, 6.5,N/A , N/A , N/A,22,rising,3.5 ,1.2, 6.5
"Catawba County, North Carolina(6)",37035,Urban,37.1 ,1.8, 6.3,N/A , N/A , N/A,76,rising,3.8 ,1.8, 6.3
"Davie County, North Carolina(6)",37059,Urban,36.1 ,-2.9, 3.0,N/A , N/A , N/A,21,stable,-0.1 ,-2.9, 3.0
"Lincoln County, North Carolina(6)",37109,Urban,36 ,1.7, 7.1,N/A , N/A , N/A,39,rising,4.0 ,1.7, 7.1
"Jackson County, North Carolina(6)",37099,Rural,35.5 ,1.6, 7.8,N/A , N/A , N/A,19,rising,4.3 ,1.6, 7.8
"Stanly County, North Carolina(6)",37167,Rural,34.4 ,-14.4, 6.5,N/A , N/A , N/A,28,stable,0.7 ,-14.4, 6.5
"Chatham County, North Carolina(6)",37037,Urban,34 ,-2.1, 3.4,N/A , N/A , N/A,40,stable,0.5 ,-2.1, 3.4
"Burke County, North Carolina(6)",37023,Urban,33.9 ,2.0, 5.4,N/A , N/A , N/A,41,rising,3.5 ,2.0, 5.4
"Person County, North Carolina(6)",37145,Urban,33.2 ,-12.7, 4.5,N/A , N/A , N/A,17,stable,0.0 ,-12.7, 4.5
"Polk County, North Carolina(6)",37149,Rural,33.2 ,*,*,N/A , N/A , N/A,11,*,*,*,*
"New Hanover County, North Carolina(6)",37129,Urban,32.9 ,2.9, 7.8,N/A , N/A , N/A,91,rising,5.0 ,2.9, 7.8
"Caldwell County, North Carolina(6)",37027,Urban,32.2 ,1.0, 4.9,N/A , N/A , N/A,36,rising,2.8 ,1.0, 4.9
"Henderson County, North Carolina(6)",37089,Urban,31.9 ,-1.4, 4.2,N/A , N/A , N/A,60,stable,1.2 ,-1.4, 4.2
"McDowell County, North Carolina(6)",37111,Rural,31.3 ,-2.3, 6.1,N/A , N/A , N/A,18,stable,1.6 ,-2.3, 6.1
"Rutherford County, North Carolina(6)",37161,Rural,31.1 ,0.3, 7.3,N/A , N/A , N/A,27,rising,3.5 ,0.3, 7.3
"Buncombe County, North Carolina(6)",37021,Urban,31.1 ,0.9, 4.8,N/A , N/A , N/A,112,rising,2.7 ,0.9, 4.8
"Union County, North Carolina(6)",37179,Urban,30.7 ,2.1, 6.0,N/A , N/A , N/A,77,rising,3.8 ,2.1, 6.0
"Transylvania County, North Carolina(6)",37175,Rural,30.5 ,-0.6, 5.8,N/A , N/A , N/A,18,stable,2.3 ,-0.6, 5.8
"Cleveland County, North Carolina(6)",37045,Rural,30.3 ,2.4, 8.1,N/A , N/A , N/A,37,rising,4.9 ,2.4, 8.1
"Gaston County, North Carolina(6)",37071,Urban,30.2 ,3.7, 7.8,N/A , N/A , N/A,82,rising,5.5 ,3.7, 7.8
"Randolph County, North Carolina(6)",37151,Urban,30 ,-9.0, 2.5,N/A , N/A , N/A,55,stable,0.1 ,-9.0, 2.5
"Yancey County, North Carolina(6)",37199,Rural,29.7 ,-4.5, 8.7,N/A , N/A , N/A,8,stable,1.5 ,-4.5, 8.7
"Orange County, North Carolina(6)",37135,Urban,29.7 ,-6.7, 2.5,N/A , N/A , N/A,48,stable,0.5 ,-6.7, 2.5
"Davidson County, North Carolina(6)",37057,Urban,29.4 ,-3.1, 12.0,N/A , N/A , N/A,63,stable,3.0 ,-3.1, 12.0
"Haywood County, North Carolina(6)",37087,Rural,28.8 ,-1.9, 3.0,N/A , N/A , N/A,28,stable,0.4 ,-1.9, 3.0
"Mitchell County, North Carolina(6)",37121,Rural,28.6 ,1.0, 8.8,N/A , N/A , N/A,6,rising,4.4 ,1.0, 8.8
"Cherokee County, North Carolina(6)",37039,Rural,28.3 ,-4.6, 6.3,N/A , N/A , N/A,13,stable,0.5 ,-4.6, 6.3
"Guilford County, North Carolina(6)",37081,Urban,28.1 ,-3.8, 1.9,N/A , N/A , N/A,173,stable,0.3 ,-3.8, 1.9
"Wilkes County, North Carolina(6)",37193,Rural,27.4 ,0.6, 5.0,N/A , N/A , N/A,25,rising,2.7 ,0.6, 5.0
"Montgomery County, North Carolina(6)",37123,Rural,27 ,0.9, 13.6,N/A , N/A , N/A,10,rising,6.2 ,0.9, 13.6
"Surry County, North Carolina(6)",37171,Rural,27 ,-28.2, 3.0,N/A , N/A , N/A,27,stable,-11.4 ,-28.2, 3.0
"Columbus County, North Carolina(6)",37047,Rural,26.8 ,2.4, 36.4,N/A , N/A , N/A,18,rising,17.6 ,2.4, 36.4
"Cabarrus County, North Carolina(6)",37025,Urban,26.3 ,-0.3, 3.4,N/A , N/A , N/A,61,stable,1.4 ,-0.3, 3.4
"Pender County, North Carolina(6)",37141,Urban,26.3 ,-0.2, 7.3,N/A , N/A , N/A,21,stable,3.0 ,-0.2, 7.3
"Johnston County, North Carolina(6)",37101,Urban,26.3 ,2.5, 6.8,N/A , N/A , N/A,58,rising,4.3 ,2.5, 6.8
"Wake County, North Carolina(6)",37183,Urban,26.2 ,-8.1, 1.6,N/A , N/A , N/A,291,stable,-1.4 ,-8.1, 1.6
"Alamance County, North Carolina(6)",37001,Urban,26.1 ,-1.4, 2.8,N/A , N/A , N/A,55,stable,0.5 ,-1.4, 2.8
"Stokes County, North Carolina(6)",37169,Urban,26.1 ,-3.1, 3.7,N/A , N/A , N/A,17,stable,0.2 ,-3.1, 3.7
"Rowan County, North Carolina(6)",37159,Urban,25.9 ,-3.7, 2.7,N/A , N/A , N/A,47,stable,0.2 ,-3.7, 2.7
"Pasquotank County, North Carolina(6)",37139,Rural,25.7 ,-2.3, 7.8,N/A , N/A , N/A,12,stable,2.4 ,-2.3, 7.8
"Mecklenburg County, North Carolina(6)",37119,Urban,25.6 ,0.5, 11.4,N/A , N/A , N/A,271,rising,4.8 ,0.5, 11.4
"Onslow County, North Carolina(6)",37133,Urban,25.5 ,0.8, 6.2,N/A , N/A , N/A,39,rising,3.2 ,0.8, 6.2
"Pamlico County, North Carolina(6)",37137,Rural,25.5 ,-3.0, 8.8,N/A , N/A , N/A,6,stable,2.3 ,-3.0, 8.8
"Camden County, North Carolina(6)",37029,Urban,24.8 ,*,*,N/A , N/A , N/A,3,*,*,*,*
"Yadkin County, North Carolina(6)",37197,Urban,23.7 ,-2.4, 2.6,N/A , N/A , N/A,12,stable,0.1 ,-2.4, 2.6
"Craven County, North Carolina(6)",37049,Rural,23.3 ,-1.3, 2.6,N/A , N/A , N/A,30,stable,0.6 ,-1.3, 2.6
"Durham County, North Carolina(6)",37063,Urban,23 ,1.8, 5.2,N/A , N/A , N/A,78,rising,3.3 ,1.8, 5.2
"Franklin County, North Carolina(6)",37069,Urban,22 ,2.1, 8.2,N/A , N/A , N/A,18,rising,4.7 ,2.1, 8.2
"Granville County, North Carolina(6)",37077,Rural,21.7 ,-0.2, 5.0,N/A , N/A , N/A,17,stable,2.1 ,-0.2, 5.0
"Lenoir County, North Carolina(6)",37107,Rural,21.7 ,-0.2, 4.8,N/A , N/A , N/A,17,stable,2.1 ,-0.2, 4.8
"Swain County, North Carolina(6)",37173,Rural,21.6 ,*,*,N/A , N/A , N/A,4,*,*,*,*
"Forsyth County, North Carolina(6)",37067,Urban,21.6 ,-8.7, -0.8,N/A , N/A , N/A,96,falling,-3.1 ,-8.7, -0.8
"Rockingham County, North Carolina(6)",37157,Urban,21.5 ,-4.6, 23.6,N/A , N/A , N/A,28,stable,11.1 ,-4.6, 23.6
"Vance County, North Carolina(6)",37181,Rural,21.2 ,3.1, 8.3,N/A , N/A , N/A,12,rising,5.3 ,3.1, 8.3
"Caswell County, North Carolina(6)",37033,Rural,21 ,2.2, 7.7,N/A , N/A , N/A,7,rising,4.6 ,2.2, 7.7
"Wayne County, North Carolina(6)",37191,Urban,20.5 ,2.7, 7.3,N/A , N/A , N/A,28,rising,4.8 ,2.7, 7.3
"Sampson County, North Carolina(6)",37163,Rural,20.3 ,0.6, 7.0,N/A , N/A , N/A,14,rising,3.5 ,0.6, 7.0
"Currituck County, North Carolina(6)",37053,Urban,19.9 ,-4.3, 2.8,N/A , N/A , N/A,7,stable,-0.9 ,-4.3, 2.8
"Chowan County, North Carolina(6)",37041,Rural,19.6 ,-3.3, 5.9,N/A , N/A , N/A,5,stable,1.1 ,-3.3, 5.9
"Harnett County, North Carolina(6)",37085,Rural,19.5 ,-2.3, 3.6,N/A , N/A , N/A,27,stable,0.5 ,-2.3, 3.6
"Wilson County, North Carolina(6)",37195,Rural,19.3 ,-2.2, 7.6,N/A , N/A , N/A,19,stable,2.4 ,-2.2, 7.6
"Lee County, North Carolina(6)",37105,Rural,19.1 ,-2.7, 2.1,N/A , N/A , N/A,14,stable,-0.4 ,-2.7, 2.1
"Duplin County, North Carolina(6)",37061,Rural,18.7 ,-0.7, 6.5,N/A , N/A , N/A,12,stable,2.6 ,-0.7, 6.5
"Anson County, North Carolina(6)",37007,Urban,18.4 ,1.4, 11.3,N/A , N/A , N/A,5,rising,5.7 ,1.4, 11.3
"Beaufort County, North Carolina(6)",37013,Rural,18.3 ,-5.9, 1.0,N/A , N/A , N/A,13,stable,-2.4 ,-5.9, 1.0
"Nash County, North Carolina(6)",37127,Urban,18.1 ,-2.0, 3.1,N/A , N/A , N/A,23,stable,0.4 ,-2.0, 3.1
"Bladen County, North Carolina(6)",37017,Rural,17.7 ,-0.7, 6.6,N/A , N/A , N/A,7,stable,2.6 ,-0.7, 6.6
"Clay County, North Carolina(6)",37043,Rural,17.5 ,*,*,N/A , N/A , N/A,4,*,*,*,*
